"GEOID","NAME.x","total_population","tot_population_race_B02001_001","tot_population_race_B03002_001","race_pop_white_alone","race_pop_black_alone","race_pop_AmIndian_alone","race_pop_asian_alone","race_pop_hawaiian_alone","race_pop_other_alone","race_pop_2orMore","race_pop_2orMoreOther","race_pop_nonwhite","race_pop_nonwhite_nonhispanic","race_pct_white_alone","race_pct_black_alone","race_pct_aapi_alone","race_pct_AmericanIndian_alone","race_pct_other_alone","race_pct_2orMore","race_pct_hisp","race_pct_nonhisp","race_pct_white_nonhispanic","race_pct_nonwhite_nonhispanic","tot_population_income","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","french_pct","chinese_pct","spanish_with_english_pct","spanish_no_english_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65","Join","democrat","other","republican","full_name","party","DemPlus","check","state","state_po","state_fips","district","totalvotes","CD","Low","Mid","High","LowPerCap","MidPerCap","HighPerCap","percentileLow","percentileMid","percentileHigh"
"0101","Congressional District 1 (116th Congress), Alabama",706503,706503,706503,474235,195105,7457,10168,143,7299,12096,1117,232268,246605,0.671242726499392,0.276155939889852,0.0145944178580983,0.0105548030227756,0.0103311663220114,0.0171209464078709,0.0320564810057424,0.967943518994258,0.650949819038277,0.349050180961723,690666,119919,0.173628063347551,26318,652821,0.952518377932082,0.0474816220679175,0.0257742934127425,0.00231457015016367,0.000889983624914027,0.015955369082796,0.00981892432994649,0.230739289146684,0.214221312577583,0.38594315947703,0.169096238798703,"AL01",0.36776483098876,0.000671840802581847,0.631563328208658,"Bradley Byrne","Republican",-0.263798497219898,1,"Alabama","AL","01","01",727851,"AL  -  01",796500755.65,1115525755.65,1434550755.65,1127.38481740346,1578.93987095596,2030.49492450846,47,43,42
"0102","Congressional District 2 (116th Congress), Alabama",680575,680575,680575,435962,213030,2785,7746,131,6811,14110,790,244613,259985,0.640578922234875,0.313014730191382,0.0115740366601771,0.0040921279800169,0.0100077140653124,0.0207324688682364,0.0355067406237373,0.964493259376263,0.61799213900011,0.38200786099989,660045,123198,0.186650910165216,25511,642108,0.955219371196123,0.0447806288038772,0.0266777551439945,0.00106835610208875,0.00000622948164483233,0.0142421524104979,0.0124356027334965,0.226764133269662,0.228436248760239,0.382993792014106,0.161805825955993,"AL02",0.384259382044822,0.00185651770322238,0.613884100251956,"Martha Roby","Republican",-0.229624718207134,1,"Alabama","AL","01","02",678690,"AL  -  02",690899916.44,978549916.44,1266199916.44,1015.17087233589,1437.8281841678,1860.48549599971,35,33,33
"0103","Congressional District 3 (116th Congress), Alabama",706705,706705,706705,491801,180187,2224,12963,186,6076,13268,1119,214904,228585,0.695907061645241,0.254967772974579,0.0186060661803723,0.00314699910146384,0.00859764682576181,0.0187744532725819,0.0309719048259175,0.969028095174083,0.676548206111461,0.323451793888539,685888,124841,0.182013681534011,25172,655828,0.956866739449978,0.0431332605500223,0.0228520282757064,0.00143330263422727,0.000121983202912959,0.0134623712314814,0.00938965704422501,0.221011596069081,0.237509286052879,0.383752768128144,0.157726349749896,"AL03",0.362184421016321,0.000642476769506069,0.637173102214173,"Mike Rogers","Republican",-0.274988681197853,1,"Alabama","AL","01","03",695745,"AL  -  03",422085756.63,586435756.63,750785756.63,597.258766571625,829.816906106508,1062.37504564139,5,5,5
"0104","Congressional District 4 (116th Congress), Alabama",683391,683391,683391,597543,48087,5563,3797,822,14669,12910,975,85848,112201,0.874379381642427,0.0703652813689381,0.00675894180637439,0.00814028864881159,0.0214650178302026,0.018891088703246,0.0649042788096419,0.935095721190358,0.835817270054771,0.164182729945229,674659,121659,0.180326653909605,23865,642234,0.942714026351766,0.0572859736482342,0.0483188370593896,0.000421964579888327,0.0000513831407244089,0.0214345550064307,0.0268842820529589,0.22827927204192,0.202121479504413,0.390818726029462,0.178780522424205,"AL04",0.201291082353043,0.000961167948945529,0.797747749698011,"Robert B. Aderholt","Republican",-0.596456667344968,1,"Alabama","AL","01","04",692907,"AL  -  04",546169014.5,762869014.5,979569014.5,799.204283492174,1116.29947497114,1433.3946664501,17,17,16
"0105","Congressional District 5 (116th Congress), Alabama",714145,714145,714145,542649,124871,4600,11849,534,10947,18695,1028,171496,195209,0.75985829208354,0.174853846207703,0.0173396159043332,0.00644126892997921,0.0153288197774962,0.0261781570969481,0.0509434358568638,0.949056564143136,0.726653550749498,0.273346449250502,697002,100385,0.144023976975676,30809,659630,0.938841471734154,0.061158528265846,0.0377332747146127,0.00203447387171596,0.0000773160711307854,0.0193654018161697,0.0183678728984431,0.220680674092796,0.222340000980193,0.399129028418598,0.157850296508412,"AL05",0.388947071618465,0.000851641712030015,0.610201286669505,"Mo Brooks","Republican",-0.221254215051041,1,"Alabama","AL","01","05",782019,"AL  -  05",755736011.13,1082736011.13,1409736011.13,1058.23888864306,1516.12909301332,1974.01929738358,39,39,38
"0106","Congressional District 6 (116th Congress), Alabama",703715,703715,703715,552289,108604,1635,12246,143,16269,12529,1133,151426,168633,0.78481913842962,0.154329522605032,0.0176051384438302,0.00232338375620812,0.0231187341466361,0.0178040826186738,0.0483008035923634,0.951699196407637,0.760367478311532,0.239632521688468,690288,72367,0.104835952529959,34527,650109,0.929897909427496,0.070102090572504,0.0449724584646575,0.00178585437211298,0,0.0228407851606423,0.0221316733040152,0.235296959706699,0.210431779910901,0.399188591972603,0.155082668409797,"AL06",0.307708890230232,0.000510189416803196,0.691780920352965,"Gary J. Palmer","Republican",-0.384072030122733,1,"Alabama","AL","01","06",834984,"AL  -  06",1015677070.12,1461052070.12,1906427070.12,1443.3074044464,2076.19856066732,2709.08971688823,71,70,70
"0107","Congressional District 7 (116th Congress), Alabama",669646,669646,669646,222974,423302,1312,5840,223,7984,8011,917,446672,456732,0.33297294391365,0.63212801987916,0.00905403750638397,0.00195924413794751,0.0119227173760464,0.0119630371868121,0.0294469017958742,0.970553098204126,0.317950081087619,0.682049918912381,643660,167031,0.259501910946773,21272,632836,0.960820812975242,0.0391791870247584,0.0256543559468804,0.00184724004323395,0,0.0129354208673337,0.0127189350795467,0.218131669568697,0.267199385944215,0.367219396516966,0.147449547970122,"AL07",0.978045389426051,0.0219546105739494,0,"Terri A. Sewell","Democrat",0.978045389426051,1,"Alabama","AL","01","07",378326,"AL  -  07",594191765.45,869266765.45,1144341765.45,887.322205239783,1298.09894399429,1708.8756827488,25,28,28
"0200","Congressional District (at Large) (116th Congress), Alaska",738516,738516,738516,478834,24129,106660,46556,8849,11027,62461,3474,259682,287762,0.648373224141386,0.0326722779195034,0.0750220712889091,0.144424765340223,0.0149312946503529,0.0845763666596255,0.0693092634418212,0.930690736558179,0.610351028278331,0.389648971721669,720674,77865,0.108044691497126,35874,678422,0.838038860768077,0.161961139231923,0.0347202773494963,0.00318828104041437,0.00028448369893665,0.0263567514025194,0.00836352594697696,0.252043286807598,0.261565084575013,0.380194877294466,0.106196751322923,"AK00",0.464970974532722,0.00421028756122283,0.530818737906055,"Don Young","Republican",-0.0658477633733334,1,"Alaska","AK","02","00",846498,"AK  -  00",1003390837.3,1445740837.3,1888090837.3,1358.65822446636,1957.62967532186,2556.60112617736,66,65,65
"0401","Congressional District 1 (116th Congress), Arizona",753580,753580,753580,491777,17359,175069,12628,1427,28051,27269,4039,261803,386762,0.652587648292152,0.0230353777966507,0.018650972690358,0.23231640967117,0.0372236524323894,0.0361859391172802,0.226194962711325,0.773805037288675,0.486767164733671,0.513232835266329,719048,145153,0.201868303645932,24115,678723,0.723790117617938,0.276209882382062,0.117803581136929,0.00231611423216835,0.000240156882852062,0.0858450354562907,0.0319585456806385,0.240039544573901,0.232267310703575,0.351312402133815,0.17638074258871,"AZ01",0.538316127310787,0.000244279169751474,0.461439593519462,"Tom O’Halleran","Democrat",0.0768765337913255,1,"Arizona","AZ","04","01",798267,"AZ  -  01",377963090.51,523388090.51,668813090.51,501.556690079355,694.535537713315,887.514385347276,3,3,3
"0402","Congressional District 2 (116th Congress), Arizona",719924,719924,719924,585124,28453,10885,22597,1716,38885,32264,6809,134800,281592,0.812758013345853,0.0395222273462199,0.0337716203377023,0.0151196515187714,0.0540126457792767,0.0448158416721765,0.284260560836977,0.715739439163023,0.608858712864136,0.391141287135864,698711,105602,0.151138310403014,30758,678484,0.779063323527158,0.220936676472842,0.168313475336191,0.00332653386078375,0.000243189227748923,0.121122974160039,0.0471905011761515,0.202699173801679,0.228542179452276,0.36158400053339,0.207174646212656,"AZ02",0.54733607114689,0.000234572601920096,0.45242935625119,"Ann Kirkpatrick","Democrat",0.0949067148957002,1,"Arizona","AZ","04","02",882456,"AZ  -  02",450168019.23,622693019.23,795218019.23,625.299363863408,864.942715106039,1104.58606634867,6,5,5
