"GEOID","NAME.x","total_population","tot_population_race_B02001_001","tot_population_race_B03002_001","race_pop_white_alone","race_pop_black_alone","race_pop_AmIndian_alone","race_pop_asian_alone","race_pop_hawaiian_alone","race_pop_other_alone","race_pop_2orMore","race_pop_2orMoreOther","race_pop_nonwhite","race_pop_nonwhite_nonhispanic","race_pct_white_alone","race_pct_black_alone","race_pct_aapi_alone","race_pct_AmericanIndian_alone","race_pct_other_alone","race_pct_2orMore","race_pct_hisp","race_pct_nonhisp","race_pct_white_nonhispanic","race_pct_nonwhite_nonhispanic","tot_population_income","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","french_pct","chinese_pct","spanish_with_english_pct","spanish_no_english_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65","FullName","state.x","county.x","FIPS","Low","Mid","High","state.y","county.y","trump16","clinton16","otherpres16","DemPlus","LowPerCap","MidPerCap","HighPerCap","percentileLow","percentileMid","percentileHigh"
"21007","Ballard County, Kentucky",8090,8090,8090,7549,336,41,32,0,9,123,30,541,583,0.933127317676143,0.0415327564894932,0.00395550061804697,0.00506798516687268,0.00111248454882571,0.015203955500618,0.0127317676143387,0.987268232385661,0.927935723114957,0.0720642768850432,7859,1334,0.169741697416974,25571,7835,0.968219527760051,0.031780472239949,0.00650925335035099,0.000382897255902999,0,0.00599872367581366,0.000510529674537332,0.220395550061805,0.1778739184178,0.401730531520396,0.2,"Ballard County, Kentucky","Kentucky","Ballard",21007,4593277.92808338,6539584.74608338,8485891.56408338,"Kentucky","Ballard",3161,816,124,"-0.571811753",567.772302606104,808.35410952823,1048.93591645036,25,29,31
"21017","Bourbon County, Kentucky",20144,20144,20144,18216,1435,0,89,0,290,114,0,1928,3020,0.904289118347895,0.0712370929308975,0.00441818903891978,0,0.0143963463065925,0.005659253375695,0.0686060365369341,0.931393963463066,0.850079428117554,0.149920571882446,19784,3504,0.177112818439143,27477,18869,0.93820552228523,0.0617944777147703,0.0551698553182469,0.000900948645927182,0,0.0160050877100005,0.0391647676082463,0.227412629070691,0.193606036536934,0.396544876886418,0.182436457505957,"Bourbon County, Kentucky","Kentucky","Bourbon",21017,19170001.1906616,27668582.0040116,36167162.8173616,"Kentucky","Bourbon",5569,2791,443,"-0.315574236",951.648192546742,1373.53961497277,1795.43103739881,62,64,66
"21031","Butler County, Kentucky",12745,12745,12745,12351,46,26,26,4,134,158,5,394,651,0.969085916045508,0.00360925853275794,0.00235386426049431,0.0020400156924284,0.0105139270302079,0.0123970184386034,0.0320125539427226,0.967987446057277,0.948921145547273,0.0510788544527265,12428,2411,0.193997425168973,22597,12017,0.959723724723309,0.0402762752766913,0.0298743446783723,0.00241324789881002,0,0.0114005159357577,0.0184738287426146,0.223067869752844,0.198823067869753,0.400784621420165,0.177324440957238,"Butler County, Kentucky","Kentucky","Butler",21031,4274108.02078071,5068225.73018071,5862343.43958071,"Kentucky","Butler",4428,947,201,"-0.62428264",335.35567052026,397.663847013002,459.972023505744,7,6,6
"21065","Estill County, Kentucky",14313,14313,14313,13972,24,58,12,7,5,235,8,341,379,0.976175504785859,0.00167679731712429,0.0013274645427234,0.00405226018305037,0.000349332774400894,0.016418640396842,0.00328372807936841,0.996716271920632,0.973520575700412,0.0264794242995878,14176,4635,0.326961060948081,17658,13639,0.993767871544835,0.0062321284551653,0.00219957474888188,0,0,0.00205293643228976,0.000146638316592126,0.213092992384546,0.188080765737441,0.417033466079788,0.181792775798225,"Estill County, Kentucky","Kentucky","Estill",21065,2403274.91744645,2606777.03179645,2810279.14614645,"Kentucky","Estill",4236,1108,201,"-0.564111812",167.90853891193,182.126530552396,196.344522192863,2,2,2
"21069","Fleming County, Kentucky",14479,14479,14479,13930,235,9,26,0,118,161,44,549,589,0.962083016782927,0.0162304026521169,0.00179570412321293,0.000621589888804475,0.00814973409765868,0.0111195524552801,0.0128461910352925,0.987153808964708,0.959320395054907,0.0406796049450929,14422,2561,0.177575925669117,23482,13595,0.947333578521515,0.0526664214784848,0.0123574843692534,0,0,0.00308937109231335,0.00926811327694005,0.245597071620968,0.189653981628566,0.394985841563644,0.169763105186822,"Fleming County, Kentucky","Kentucky","Fleming",21069,7821671.63710972,11202928.9424597,14584186.2478097,"Kentucky","Fleming",4722,1348,190,"-0.538977636",540.208000352906,773.736372847553,1007.2647453422,23,27,29
"21093","Hardin County, Kentucky",108095,108095,108095,86022,12403,326,2281,380,1361,5322,140,22073,25843,0.795799990748878,0.114741662426569,0.0246172348397243,0.00301586567371294,0.0125907766316666,0.0492344696794486,0.0569314029326056,0.943068597067394,0.760923261945511,0.239076738054489,105090,14638,0.13929013226758,27666,99958,0.925798835510915,0.0742011644890854,0.0293123111706917,0.00235098741471418,0.000870365553532484,0.0210888573200744,0.00822345385061726,0.24743050094824,0.232480688283454,0.388167815347611,0.131920995420695,"Hardin County, Kentucky","Kentucky","Hardin",21093,77976901.5379772,109545339.213352,141113776.888727,"Kentucky","Hardin",26971,13944,2241,"-0.301858374",721.373805800243,1013.41726456684,1305.46072333343,41,43,44
"21099","Hart County, Kentucky",18627,18627,18627,17386,776,102,92,0,12,259,0,1241,1575,0.933376281741558,0.0416599559778816,0.00493906694583132,0.00547592204863907,0.000644226123369303,0.0139045471627208,0.0184141300263059,0.981585869973694,0.915445321307779,0.084554678692221,18308,3918,0.214004806641905,20421,17299,0.925429215561593,0.0745707844384068,0.00757269206312504,0,0,0.00445112434244754,0.0031215677206775,0.247651258925216,0.190851989048156,0.398507542814194,0.162989209212434,"Hart County, Kentucky","Kentucky","Hart",21099,5859549.12360485,6729753.18462985,7599957.24565485,"Kentucky","Hart",5320,1730,214,"-0.494218062",314.572884715996,361.290233780526,408.007582845056,6,5,5
"21131","Leslie County, Kentucky",10472,10472,10472,10229,6,0,44,0,72,121,0,243,243,0.976795263559969,0.000572956455309397,0.00420168067226891,0,0.00687547746371276,0.0115546218487395,0.00697097020626432,0.993029029793736,0.976795263559969,0.0232047364400305,9992,3553,0.355584467574059,15691,10320,0.996996124031008,0.00300387596899221,0.00193798449612403,0,0,0.00125968992248062,0.000678294573643411,0.218009931245225,0.198720397249809,0.415679908326967,0.167589763177998,"Leslie County, Kentucky","Kentucky","Leslie",21131,1210215.11145718,1410215.11145718,1610215.11145718,"Kentucky","Leslie",4015,400,77,"-0.804764025",115.566760070395,134.665308580708,153.763857091021,1,1,1
"21151","Madison County, Kentucky",89700,89700,89700,81957,3835,330,898,7,584,2089,207,7743,9290,0.913678929765886,0.0427536231884058,0.0100891861761427,0.00367892976588629,0.00651059085841695,0.023288740245262,0.023835005574136,0.976164994425864,0.896432552954292,0.103567447045708,83201,15836,0.190334250790255,24553,80969,0.96089861551952,0.0391013844804802,0.020205263742914,0.00184021045091331,0.0000988032456866208,0.0137336511504403,0.00647161259247366,0.209955406911929,0.301616499442586,0.357915273132664,0.130512820512821,"Madison County, Kentucky","Kentucky","Madison",21151,51758702.0057311,71206522.240556,90654342.475381,"Kentucky","Madison",23431,11793,2147,"-0.311417944",577.020089250067,793.829679381896,1010.63926951372,26,28,29
"21155","Marion County, Kentucky",19232,19232,19232,17218,1423,26,45,68,166,286,25,2014,2361,0.895278702163062,0.0739912645590682,0.00587562396006656,0.00135191347753744,0.00863144758735441,0.0148710482529118,0.0269862728785358,0.973013727121464,0.877235856905158,0.122764143094842,18409,4197,0.227986311043511,21659,18442,0.967140223403102,0.0328597765968984,0.0188157466652207,0.000704912699273398,0,0.0103567942739399,0.00845895239128077,0.244280366056572,0.18698003327787,0.407237936772047,0.161501663893511,"Marion County, Kentucky","Kentucky","Marion",21155,13482741.3114027,18269651.0094277,23056560.7074527,"Kentucky","Marion",5122,2679,310,"-0.301195907",701.057680501387,949.96105498272,1198.86442946405,39,39,39
"21179","Nelson County, Kentucky",45388,45388,45388,41391,2252,51,275,0,534,885,95,3997,4339,0.911937075879087,0.0496166387591434,0.00605887018595223,0.00112364501630387,0.0117652242883582,0.0194985458711554,0.0209967392262272,0.979003260773773,0.904402044593285,0.0955979554067155,44907,4899,0.10909212372236,31387,41474,0.973332690360226,0.0266673096397743,0.0176013888219125,0.00101268264454839,0,0.0111153975984954,0.00648599122341708,0.241870097823213,0.206089715343263,0.406429012073676,0.145611174759848,"Nelson County, Kentucky","Kentucky","Nelson",21179,34577021.9935695,50312954.7306945,66048887.4678195,"Kentucky","Nelson",13431,6434,937,"-0.336361888",761.809773366738,1108.50785958171,1455.20594579668,45,50,52
"17091","Kankakee County, Illinois",111061,111061,111061,88554,16716,230,1054,22,2336,2149,254,22507,30913,0.797345602866893,0.150511880858267,0.00968836945462404,0.00207093399123004,0.0210334861022321,0.0193497267267538,0.10189895642935,0.89810104357065,0.721657467517851,0.278342532482149,106517,15794,0.148276800886244,27164,105273,0.911886238636687,0.0881137613633125,0.0681371291784218,0.00160534989978437,0,0.0422900458807102,0.0258470832977117,0.233736415123221,0.231116233421273,0.376594844274768,0.158552507180739,"Kankakee County, Illinois","Illinois","Kankakee",17091,96679570.9463839,136769280.932959,176858990.919534,"Illinois","Kankakee",25129,18971,3205,"-0.130176514",870.508737958275,1231.47892539198,1592.44911282569,56,57,58
"17187","Warren County, Illinois",17338,17338,17338,15267,453,40,453,0,753,372,0,2071,2883,0.880551390010382,0.026127581035875,0.026127581035875,0.00230707117314569,0.0434306148344676,0.0214557619102549,0.0940708270850156,0.905929172914984,0.833717845195524,0.166282154804476,16158,2010,0.124396583735611,26082,16605,0.897380307136405,0.102619692863595,0.076904546823246,0.00319180969587474,0,0.0441433303221921,0.0327612165010539,0.223555196677818,0.225458530395663,0.367574114661437,0.183412158265082,"Warren County, Illinois","Illinois","Warren",17187,12120259.5451174,15572839.9651424,19025420.3851674,"Illinois","Warren",4275,2987,545,"-0.164980146",699.057535189605,898.191254189778,1097.32497318995,39,36,33
"17197","Will County, Illinois",688697,688697,688697,505669,77224,1892,36761,217,46671,20263,4057,183028,246449,0.734240166575432,0.112130588633318,0.0536926979498967,0.00274721684572461,0.0677671022234742,0.0294222277721552,0.170643984219475,0.829356015780525,0.642151773566605,0.357848226433395,678516,47519,0.0700337206491815,35259,640943,0.799453305520148,0.200546694479852,0.119956064735866,0.00224512944208767,0.00036352686588355,0.0667017191856374,0.0532543455502283,0.257240847571574,0.208418215848189,0.412879684389507,0.121461252190731,"Will County, Illinois","Illinois","Will",17197,719461400.901803,1029176862.0273,1338892323.1528,"Illinois","Will",132720,151927,16257,"0.063830989",1044.67044418925,1494.38267050285,1944.09489681646,69,71,72
"18027","Daviess County, Indiana",32937,32937,32937,31356,577,10,44,10,518,422,0,1581,2648,0.951999271336187,0.0175182924977988,0.00163949357865015,0.00030360992197225,0.0157269939581626,0.012812338707229,0.0480614506482072,0.951938549351793,0.919604092661748,0.0803959073382519,32420,4110,0.126773596545342,22548,29684,0.839846381889233,0.160153618110767,0.0370570004042582,0.00107802182994206,0,0.0214256838700984,0.0156313165341598,0.292528159820263,0.210340953942375,0.34693505783769,0.150195828399672,"Daviess County, Indiana","Indiana","Daviess",18027,28603809.8767144,41637566.9132644,54671323.9498144,"Indiana","Daviess",8545,1800,423,"-0.626393016",868.440048477832,1264.15784416505,1659.87563985227,56,59,60
"18061","Harrison County, Indiana",39712,39712,39712,38347,319,110,175,0,365,396,26,1365,1824,0.96562751813054,0.00803283642224013,0.00440672844480258,0.00276994359387591,0.00919117647058824,0.00997179693795326,0.0183823529411765,0.981617647058823,0.954069298952458,0.0459307010475423,39193,4133,0.105452504273722,27211,37079,0.982577739421236,0.0174222605787643,0.00927748860541007,0.00242724992583403,0,0.00639175813802961,0.00288573046738046,0.225095688960516,0.189464141821112,0.416549153908139,0.168891015310234,"Harrison County, Indiana","Indiana","Harrison",18061,19838313.3594297,27123675.2935297,34409037.2276297,"Indiana","Harrison",12943,4783,832,"-0.439702554",499.554627302319,683.009551106207,866.464474910095,20,20,21
