Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
Strayer University,Strategic Education Inc.,20200409,grant,"$2,896,061 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,, ,,,,,,,0,,publicly traded,STRA,Virginia,USA,miscellaneous services,educational services,"3,076",0,$0 ,,"$44,943 ",$0 ,$0 ,$0 ,125 to 1,"$7,436,578 ","$59,351 ",$0 ,no,no,no,no,no,yes,,,,,capella-education-co
Bayfront Hma Medical Center LLC,Community Health Systems,20200508,loan,$0 ,"$21,065,501 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Florida,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Affinity Hospital LLC,Community Health Systems,20200508,loan,$0 ,"$48,314,541 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Alabama,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Dupont Hospital LLC,Community Health Systems,20200508,loan,$0 ,"$7,570,000 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Indiana,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Aiken Regional Medical Centers,Universal Health Services Inc.,20200508,loan,$0 ,"$19,714,815 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,South Carolina,,,,,,,0,,publicly traded,UHS,Pennsylvania,USA,healthcare services,for-profit hospitals,"80,800",0,"$469,188 ",19.60%,"$2,142,878 ","$11,750,000 ","$217,373 ",$0 ,629 to 1,"$24,473,240 ","$38,931 ",$0 ,no,no,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=29950330,universal-health-services-inc,universal-health-services-inc
"Amisub (Sfh), Inc.",Tenet Healthcare,20200508,loan,$0 ,"$1,348,903 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Tennessee,,,,,,,0,,publicly traded,THC,Texas,USA,healthcare services,healthcare services,"113,600",0,"$42,488,717 ",-2.40%,"$17,272,256 ","$605,260,000 ","$307,200 ","$120,000 ",452 to 1,"$24,288,660 ","$53,714 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=2572,tenet-healthcare,tenet-healthcare
"Amisub (Sfh), Inc.",Tenet Healthcare,20200508,loan,$0 ,"$29,526,337 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Tennessee,,,,,,,0,,publicly traded,THC,Texas,USA,healthcare services,healthcare services,"113,600",0,"$42,488,717 ",-2.40%,"$17,272,256 ","$605,260,000 ","$307,200 ","$120,000 ",452 to 1,"$24,288,660 ","$53,714 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=2572,tenet-healthcare,tenet-healthcare
"Amisub Of South Carolina, Inc.",Tenet Healthcare,20200508,loan,$0 ,"$37,262,786 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,South Carolina,,,,,,,0,,publicly traded,THC,Texas,USA,healthcare services,healthcare services,"113,600",0,"$42,488,717 ",-2.40%,"$17,272,256 ","$605,260,000 ","$307,200 ","$120,000 ",452 to 1,"$24,288,660 ","$53,714 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=2572,tenet-healthcare,tenet-healthcare
"COMMUNITY HEALTH SYSTEMS, INC.",Community Health Systems,20200501,loan,$0 ,"$3,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,California,Moreno Valley,22675 ALESSANDRO BLVD,92553,CA - 41,621111,"JPMorgan Chase Bank, National Association",259,The dollar amount of this loan was reported to be in a range of $2 million to $5 million. We are using the midpoint of that range: $3.5 million.,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
"COMMUNITY HEALTH SYSTEMS, INC.",Community Health Systems,20200407,loan,$0 ,"$3,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,West Virginia,Beckley,252 Rural Acres Drive,25801,WV - 03,621498,"JPMorgan Chase Bank, National Association",343,The dollar amount of this loan was reported to be in a range of $2 million to $5 million. We are using the midpoint of that range: $3.5 million.,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
"COMMUNITY HEALTH SYSTEMS, INC.",Community Health Systems,20200409,loan,$0 ,"$675,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Wisconsin,Beloit,74 Eclipse Blvd,53511,WI - 01,621498,The First National Bank and Trust Company,0,"The dollar amount of this loan was reported to be in a range of $350,000 to $1 million. We are using the midpoint of that range: $675,000.",publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Iom Health System Lp,Community Health Systems,20200508,loan,$0 ,"$42,680,000 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Indiana,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Lutheran Musculoskeletal Center,Community Health Systems,20200508,loan,$0 ,"$6,214,939 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Indiana,,,,,,,0,,publicly traded,CYH,Tennessee,USA,healthcare services,for-profit hospitals,"80,000",0,"$1,432,842 ",,"$183,962,575 ","$477,996,770 ",$0 ,$0 ,151 to 1,"$8,064,410 ","$53,461 ",$0 ,yes,yes,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=653,community-health-systems,community-health-systems
Bhc Alhambra Hospital Inc,Universal Health Services Inc.,20200508,loan,$0 ,"$1,459,567 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,California,,,,,,,0,,publicly traded,UHS,Pennsylvania,USA,healthcare services,for-profit hospitals,"80,800",0,"$469,188 ",19.60%,"$2,142,878 ","$11,750,000 ","$217,373 ",$0 ,629 to 1,"$24,473,240 ","$38,931 ",$0 ,no,no,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=29950330,universal-health-services-inc,universal-health-services-inc
Bhc Fairfax Hospital Inc,Universal Health Services Inc.,20200508,loan,$0 ,"$2,196,043 ",Centers for Medicare and Medicaid Services,"Medicare Accelerated and Advance Payment Program ($500,000 and up)",,https://www.cms.gov/About-CMS/Agency-Information/Emergency/EPRO/Current-Emergencies/Current-Emergencies-page,,Washington,,,,,,,0,,publicly traded,UHS,Pennsylvania,USA,healthcare services,for-profit hospitals,"80,800",0,"$469,188 ",19.60%,"$2,142,878 ","$11,750,000 ","$217,373 ",$0 ,629 to 1,"$24,473,240 ","$38,931 ",$0 ,no,no,yes,no,no,yes,,,https://www.followthemoney.org/entity-details?eid=29950330,universal-health-services-inc,universal-health-services-inc
