Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
"BLUE DIAMOND MINING, LLC",Blackhawk Mining,20200410,loan,$0 ,"$7,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Kentucky,Lexington,3228 SUMMIT SQUARE PL,40509,KY - 06,212111,Peoples Bank,289,The dollar amount of this loan was reported to be in a range of $5 million to $10 million. We are using the midpoint of that range: $7.5 million.,privately held,,Kentucky,USA,mining and minerals,coal mining,0,0,$0 ,,$0 ,$0 ,"$4,655,826 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,blackhawk-mining,
BOUCHARD TRANSPORTATION CO. INC.,Bouchard Transportation,20200428,loan,$0 ,"$7,500,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,New York,Melville,58 S SERVICE RD SUITE 150,11747,NY - 02,483113,Signature Bank,0,The dollar amount of this loan was reported to be in a range of $5 million to $10 million. We are using the midpoint of that range: $7.5 million.,privately held,,New York,USA,miscellaneous services,barge services,0,0,"$250,000 ",,$0 ,$0 ,"$23,300,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,bouchard-transportation,
"University Of California, Berkeley",University of California,20200409,grant,"$15,220,313 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Berkeley,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Davis",University of California,20200409,grant,"$16,935,881 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Davis,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Irvine",University of California,20200409,grant,"$18,365,814 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Irvine,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Los Angeles",University of California,20200409,grant,"$17,953,435 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Los Angeles,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Merced",University of California,20200409,grant,"$6,518,948 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Merced,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Riverside",University of California,20200409,grant,"$14,867,313 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Riverside,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, San Diego",University of California,20200409,grant,"$17,444,884 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,San Diego,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Santa Barbara",University of California,20200409,grant,"$12,602,098 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Santa Barbara,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"University Of California, Santa Cruz",University of California,20200409,grant,"$9,663,600 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,California,Santa Cruz,,,,,,0,,non-profit,,California,USA,miscellaneous services,university,0,0,"$1,087,810 ",,$0 ,"$499,700 ","$1,753,366 ","$865,500 ",,$0 ,$0 ,$0 ,yes,no,no,yes,no,no,http://www.contractormisconduct.org/contractors/54/university-of-california,,,university-of-california,
"C.A.I., INC.",C.A.I. Inc.,20200428,loan,$0 ,"$675,000 ",Small Business Administration,Paycheck Protection Program,,https://home.treasury.gov/policy-issues/cares-act/assistance-for-small-businesses/sba-paycheck-protection-program-loan-data,,Massachusetts,Georgetown,7 MARTEL WAY,1833,MA - 06,325510,"People's United Bank, National Association",59,"The dollar amount of this loan was reported to be in a range of $350,000 to $1 million. We are using the midpoint of that range: $675,000.",privately held,,Massachusetts,USA,paints and coatings,paints & coatings,0,0,$0 ,,$0 ,$0 ,"$1,509,750 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,cai-inc,
University Of Michigan - Ann Arbor,University Of Michigan,20200409,grant,"$12,622,026 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Michigan,Ann Arbor,,,,,,0,,non-profit,,Michigan,USA,miscellaneous services,university,0,0,$0 ,,$0 ,$0 ,"$4,300,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,,
University Of Michigan - Dearborn,University Of Michigan,20200409,grant,"$3,494,564 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Michigan,Dearborn,,,,,,0,,non-profit,,Michigan,USA,miscellaneous services,university,0,0,$0 ,,$0 ,$0 ,"$4,300,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,,
University Of Michigan - Flint,University Of Michigan,20200409,grant,"$2,300,077 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Michigan,Flint,,,,,,0,,non-profit,,Michigan,USA,miscellaneous services,university,0,0,$0 ,,$0 ,$0 ,"$4,300,000 ",$0 ,,$0 ,$0 ,$0 ,no,no,no,yes,no,no,,,,,
