Recipient Company,Parent Company,Award Date,Award Type,Grant Amount,Face Loan Amount,Awarding Agency,Program Name,Award Details,Data Source for Award,Facility Name,Facility State,Facility City,Facility Street Address,Facility Zip Code,Facility Congressional District,Facility NAICS Code,PPP Lender,Jobs Retained,Notes,Ownership Structure,Stock Ticker Symbol,Parent Headquarters State,Parent Headquarters Country,Parent Sector,Parent Industry,Parent Total Workforce at end of 2019,Parent Latest Workforce Size,Parent Employment-related Penalties Since 2010,Parent Federal Corporate Income Tax Rate,"Parent Total Federal, State, and Local Subsidies Since 2010",Parent Government-contracting-related Penalties Since 2010,Parent Environmental / Healthcare / Safety Penalties Since 2010,Parent Consumer Protection / Financial / Competition-related Penaties Since 2010,Parent Ratio of CEO Pay to that of Median Worker,CEO Pay,Median Worker Pay,Parent TARP Loans Received During Financial Crisis,Employment Issues,Tax/Subsidy Issues,Government Contracting Issues,Environment/Safety Issues,Consumer Protection Issues,CEO Compensation Issues,POGO Link,Just Capital Link,Follow The Money Link,Violation Tracker Link,Subsidy Tracker Link
Denver Health And Hospitals Authority,Denver Health,20200408,grant,"$3,871,985 ",$0 ,Health Resources & Services Administration,CARES Supplemental Funding for Health Centers,,https://bphc.hrsa.gov/emergency-response/coronavirus-cares-FY2020-awards/co,,Colorado,Denver,,,,,,0,,non-profit,,Colorado,USA,healthcare services,healthcare services,0,0,$0 ,,$0 ,"$6,300,000 ","$51,803 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,denver-health,
North Broward Hospital District,Broward Health,20200408,grant,"$646,940 ",$0 ,Health Resources & Services Administration,CARES Supplemental Funding for Health Centers,,https://bphc.hrsa.gov/emergency-response/coronavirus-cares-FY2020-awards/fl,,Florida,Ft Lauderdale,,,,,,0,,non-profit,,Florida,USA,healthcare services,hospitals,0,0,$0 ,,$0 ,"$69,500,000 ",$0 ,$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,broward-health,
"Teachers College, Columbia University",Columbia University,20200409,grant,"$559,267 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,New York,,,,,,,0,,non-profit,,New York,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$19,515,073 ","$8,925 ","$1,500,000 ",,$0 ,$0 ,$0 ,no,no,yes,no,yes,no,,,,columbia-university,
Temple University,Temple University,20200409,grant,"$14,370,189 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Pennsylvania,Philadelphia,,,,,,0,,non-profit,,Pennsylvania,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$1,188,574 ",$0 ,$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,,
University Of Missouri - Columbia,University of Missouri,20200409,grant,"$8,154,572 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Missouri,Columbia,,,,,,0,,non-profit,,Missouri,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$2,200,000 ","$65,115 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,university-of-missouri,
University Of Missouri - Kansas City,University of Missouri,20200409,grant,"$3,531,361 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Missouri,Kansas City,,,,,,0,,non-profit,,Missouri,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$2,200,000 ","$65,115 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,university-of-missouri,
University Of Missouri - Saint Louis,University of Missouri,20200409,grant,"$2,915,112 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Missouri,Saint Louis,,,,,,0,,non-profit,,Missouri,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$2,200,000 ","$65,115 ",$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,university-of-missouri,
University Of Puerto Rico - Arecibo,University Of Puerto Rico,20200409,grant,"$3,842,367 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Puerto Rico,Arecibo,,,,,,0,,non-profit,,Puerto Rico,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$1,772,790 ",$0 ,$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,,
University Of Puerto Rico - Cayey University College,University Of Puerto Rico,20200409,grant,"$2,869,028 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Puerto Rico,Cayey,,,,,,0,,non-profit,,Puerto Rico,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$1,772,790 ",$0 ,$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,,
University Of Puerto Rico - Humacao University College,University Of Puerto Rico,20200409,grant,"$2,832,118 ",$0 ,Education Department,"Higher Education Emergency Relief Fund ($500,000 and up)",Amount is the maximum portion of the school's allocation that can be used for institutional costs.,https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf,,Puerto Rico,Humacao,,,,,,0,,non-profit,,Puerto Rico,USA,miscellaneous services,university,0,0,$0 ,,$0 ,"$1,772,790 ",$0 ,$0 ,,$0 ,$0 ,$0 ,no,no,yes,no,no,no,,,,,
