NAICSCode,naics_lvl_1,naics_lvl_2,naics_lvl_3,naics_lvl_4,naics_lvl_5
111110,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Soybean Farming,Soybean Farming
111120,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming
111130,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Dry Pea and Bean Farming,Dry Pea and Bean Farming
111140,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Wheat Farming,Wheat Farming
111150,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Corn Farming,Corn Farming
111160,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Rice Farming,Rice Farming
111191,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Other Grain Farming,Oilseed and Grain Combination Farming
111199,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming,Other Grain Farming,All Other Grain Farming
111211,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming,Vegetable and Melon Farming,Potato Farming
111219,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming,Vegetable and Melon Farming,Other Vegetable (except Potato) and Melon Farming
111310,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Orange Groves,Orange Groves
111320,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Citrus (except Orange) Groves,Citrus (except Orange) Groves
111331,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Apple Orchards
111332,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Grape Vineyards
111333,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Strawberry Farming
111334,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Berry (except Strawberry) Farming
111335,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Tree Nut Farming
111336,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Fruit and Tree Nut Combination Farming
111339,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,Other Noncitrus Fruit Farming
